Conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RULER_UID:101,Artaxerxes III,Schabaka,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:102,Alexander III ,Alexander the Great,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:103,Philip Arrhidaeus,Philip III,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:104,Ptolemy I Soter I,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:105,Ptolemy II Philadelphus,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:106,Ptolemy III Eugertes I,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:107,Ptolemy IV Philopator,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:108,Ptolemy V Epiphanes,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:109,Ptolemy VI Philometer,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:110,Ptolemy VII Neos Philopator,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:111,Ptolemy VIII Eugertes II,Physcon,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:112,Ptolemy IX  Soter II,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:113,Ptolemy X Alexander I,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:114,Ptolemy XI Alexander II,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:115,Ptolemy XII Neos Dionysus,Auletes,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:116,Ptolemy XIII Theos Philopator I,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:117,Cleopatra VII,Cleopatra,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:118,Augustus,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:119,Tiberius,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:120,Gaius Caligula,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:121,Claudius,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:122,Nero,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:123,Galba,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:124,Otho,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:125,Vespasian,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:126,Titus,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:127,Domitian,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:128,Nerva,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:129,Trajan,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:130,Hadrian,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:131,Antoninus Pius,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:133,Marcus Arelius,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:132,Lucius Verus,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:134,Commodus,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:135,Septimus Severus,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:136,Caracalla,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:137,Macrinus,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:138,Antoninus,Elegabalus,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:139,Severus Alexander,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:140,Maximinus the Thracian,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:141,Gordian III,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:142,Philip,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:143,Decius,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:144,Trebonianus Gallus ,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:145,Valerian,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:146,Gallienus,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:147,Claudius II,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:148,Aurelian,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:149,Tacitus,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:150,Probus,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:151,Diocletian,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
